City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Kushima,31.4583,131.2333,66.0,100,100,4.0,JP,1620748144
Sittwe,20.15,92.9,85.57,71,50,7.16,MM,1620748144
Murgūd,16.4,74.2,80.26,67,67,7.92,IN,1620748145
Kavaratti,10.5669,72.642,85.8,69,97,4.21,IN,1620748145
Magadan,59.5667,150.8,32.85,90,53,2.89,RU,1620748145
Traralgon,-38.1833,146.5333,45.0,92,100,2.91,AU,1620748145
Rantauprapat,2.1,99.8333,75.56,98,100,1.83,ID,1620748146
Maridi,4.9158,29.4742,70.29,91,96,1.9,SS,1620748146
Verkhovyna,48.1557,24.7911,64.06,58,0,5.26,UA,1620748146
Boende,-0.2167,20.8667,80.01,68,90,1.79,CD,1620748147
Daru,-9.0763,143.2092,78.53,88,100,8.63,PG,1620748147
Baruun-Urt,46.6806,113.2792,42.84,48,7,16.06,MN,1620748147
Ribeira Grande,38.5167,-28.7,66.2,72,20,14.97,PT,1620748147
Batemans Bay,-35.7167,150.1833,55.99,95,93,5.99,AU,1620748148
Kudat,6.8837,116.8477,82.4,89,20,4.61,MY,1620748148
Kodinsk,58.6881,99.1844,33.4,78,12,3.67,RU,1620748148
City of San Pedro,14.35,121.0167,86.0,70,20,8.05,PH,1620748149
Dana Point,33.467,-117.6981,62.01,80,7,1.99,US,1620747915
Jining,35.405,116.5814,63.32,82,99,9.42,CN,1620748149
Kloulklubed,7.0419,134.2556,80.6,83,90,10.36,PW,1620748149
Atherton,53.5237,-2.4935,59.0,59,100,8.99,GB,1620748150
Sangar,63.9242,127.4739,34.0,90,100,3.8,RU,1620748150
Serpa,37.9458,-7.5975,66.2,34,40,11.5,PT,1620748150
Mana,5.6592,-53.7767,83.12,69,25,12.26,GF,1620748150
Lompoc,34.6391,-120.4579,55.99,93,2,3.56,US,1620748151
Navalmoral de la Mata,39.8916,-5.5406,59.0,46,12,5.01,ES,1620748151
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,63.0,76,100,5.99,AR,1620748151
Doha,25.2867,51.5333,91.99,31,0,5.75,QA,1620747931
Houston,29.7633,-95.3633,88.0,70,75,16.11,US,1620748049
Bowen,-20.0167,148.2333,69.8,100,40,6.91,AU,1620748152
Kahului,20.8947,-156.47,71.6,73,20,18.41,US,1620747998
Duderstadt,51.5131,10.2595,60.01,78,100,1.01,DE,1620748152
Huarmey,-10.0681,-78.1522,70.54,71,1,8.72,PE,1620748153
Maţāy,28.419,30.7792,89.28,15,0,10.92,EG,1620748153
Vanimo,-2.6741,141.3028,78.49,87,100,2.01,PG,1620748153
Zeya,53.75,127.2667,50.31,68,100,9.95,RU,1620748153
Samarai,-10.6167,150.6667,80.91,82,91,8.84,PG,1620748154
Kulunda,52.566,78.9385,56.53,48,61,17.43,RU,1620748154
Antón Lizardo,19.05,-95.9833,87.01,74,90,6.91,MX,1620748154
Porto Nacional,-10.7081,-48.4172,87.8,48,20,6.91,BR,1620748155
Sirte,31.2089,16.5887,75.04,50,0,22.84,LY,1620748155
Muscat,23.6139,58.5922,87.8,62,0,5.75,OM,1620748155
Anito,12.4497,125.2886,78.87,87,63,6.11,PH,1620748156
Aykhal,66.0,111.5,16.2,95,67,6.6,RU,1620748156
Comodoro Rivadavia,-45.8667,-67.5,59.0,44,0,11.5,AR,1620748156
Yangjiang,21.85,111.9667,79.72,92,15,7.02,CN,1620748156
West Wendover,40.7391,-114.0733,51.8,32,1,8.05,US,1620748157
Rabat,33.9911,-6.8401,68.0,45,40,16.11,MA,1620747972
Huanren,41.2647,125.3667,51.62,72,88,3.91,CN,1620748157
Baláo,-2.9167,-79.8167,80.6,74,20,4.61,EC,1620748157
Genappe,50.609,4.449,61.0,63,20,3.44,BE,1620748158
Byron Bay,-28.65,153.6167,68.0,94,90,5.75,AU,1620748158
Jacareacanga,-6.2222,-57.7528,91.15,47,12,5.55,BR,1620748158
Pathein,16.7833,94.7333,83.61,74,5,7.05,MM,1620748159
Sinjai,-5.1241,120.253,78.33,85,53,2.04,ID,1620748159
Chino Valley,34.7575,-112.4538,70.0,22,0,1.01,US,1620748159
Pudozh,61.8099,36.5345,63.59,60,77,5.91,RU,1620748160
Mahanoro,-19.9,48.8,72.86,85,13,5.01,MG,1620748160
Aswān,24.0934,32.907,97.43,8,6,19.3,EG,1620748160
Thanh Hoa,19.8,105.7667,82.06,82,83,7.94,VN,1620748160
Adamantas,36.7333,24.4333,66.2,55,0,13.8,GR,1620748161
Skjervøy,70.0311,20.9714,39.2,87,75,5.75,NO,1620748161
Auki,-8.7676,160.7034,77.63,85,100,2.68,SB,1620748161
Bozeman,45.6796,-111.0386,46.0,75,1,4.36,US,1620747888
Finnsnes,69.2296,17.9811,41.0,81,75,8.05,NO,1620748162
Rio Grande,-32.035,-52.0986,59.0,67,0,13.8,BR,1620748162
Marakkanam,12.2,79.95,86.7,77,93,17.4,IN,1620748162
Ust'-Kan,50.9276,84.761,41.85,94,100,2.46,RU,1620748163
Honningsvåg,70.9821,25.9704,39.2,75,75,3.44,NO,1620748163
Zemio,5.0314,25.1361,74.68,87,92,3.89,CF,1620748163
Iona,26.5204,-81.964,91.0,65,40,6.91,US,1620748164
Nouadhibou,20.931,-17.0347,80.6,47,0,16.11,MR,1620748164
Smithers,54.7804,-127.1743,41.0,75,75,3.44,CA,1620748164
Hammerfest,70.6634,23.6821,35.6,93,75,6.91,NO,1620748164
Copparo,44.893,11.8249,66.99,82,75,3.44,IT,1620748165
Buala,-8.145,159.5921,80.15,83,100,3.22,SB,1620748165
Mwense,-10.3845,28.698,67.75,64,35,5.84,ZM,1620748165
La Rioja,42.25,-2.5,64.99,27,20,16.11,ES,1620748166
Uusikaupunki,60.8004,21.4084,69.8,43,0,8.05,FI,1620748166
Falun,60.6036,15.626,52.0,87,90,2.3,SE,1620748166
Trelew,-43.249,-65.3051,59.83,19,14,8.46,AR,1620748166
Zheleznogorsk-Ilimskiy,56.5768,104.1217,36.34,96,100,8.14,RU,1620748167
Gutiérrez,4.2547,-74.0025,64.4,55,75,9.22,CO,1620748167
Zholymbet,51.7433,71.7122,53.46,54,5,7.31,KZ,1620748167
Tevaitoa,-16.7833,-151.5,81.55,77,97,21.14,PF,1620748168
Gouré,13.9835,10.2704,108.0,5,93,8.99,NE,1620748168
Magomeni,-6.8,39.25,75.51,74,100,5.99,TZ,1620748168
Dingzhou,38.5131,114.9956,57.2,88,0,2.24,CN,1620748169
Makakilo City,21.3469,-158.0858,73.4,83,1,5.75,US,1620748169
Tadine,-21.55,167.8833,75.27,82,99,14.61,NC,1620748169
Andilamena,-17.0167,48.5833,62.56,97,6,5.5,MG,1620748170
Agadez,19.75,10.25,106.84,4,4,8.66,NE,1620748170
Kutum,14.2,24.6667,92.57,10,7,10.11,SD,1620748170
Solnechnyy,50.7214,136.6319,39.09,75,6,3.87,RU,1620748170
Murray Bridge,-35.1167,139.2667,43.0,87,0,4.54,AU,1620748171
Guilin,25.2819,110.2864,80.6,83,75,4.47,CN,1620748171
Kharan,28.5833,65.4167,89.92,12,84,16.64,PK,1620748171
Flin Flon,54.7682,-101.865,53.6,32,1,4.61,CA,1620748172
Mormugao,15.4,73.8,86.0,74,20,10.36,IN,1620748172
Salina Cruz,16.1667,-95.2,89.26,56,40,4.74,MX,1620748038
Ambon City,-3.6954,128.1814,77.0,88,40,3.44,ID,1620748173
Grass Valley,39.2191,-121.0611,73.99,11,1,1.07,US,1620748037
Garlasco,45.1974,8.9238,60.01,86,100,11.99,IT,1620748173
Kārsiyāng,26.8825,88.2773,55.36,92,80,3.56,IN,1620748173
Santa Luzia,-19.7697,-43.8514,75.2,49,40,4.61,BR,1620748174
Mizdah,31.4451,12.9801,101.44,6,0,16.4,LY,1620748174
Tocopilla,-22.092,-70.1979,69.82,71,100,4.83,CL,1620748174
Muromtsevo,56.3724,75.2418,52.25,41,0,3.58,RU,1620748175
Praia da Vitória,38.7333,-27.0667,68.0,64,20,11.68,PT,1620748175
Kiunga,-6.1219,141.2906,73.89,99,91,1.34,PG,1620748175
Tautira,-17.7333,-149.15,78.8,73,75,4.61,PF,1620748176
Wajir,1.7471,40.0573,89.6,48,75,7.09,KE,1620748177
Kudahuvadhoo,2.6708,72.8944,81.72,83,100,18.77,MV,1620748177
El Alto,-4.2714,-81.2147,73.4,68,0,24.16,PE,1620748177
Laas,46.6166,10.7002,59.0,81,75,10.36,IT,1620748178
Bela,25.9333,81.9833,95.31,21,15,2.55,IN,1620748178
Praia,14.9215,-23.5087,80.6,50,20,20.71,CV,1620748178
Mahon,39.8885,4.2658,66.2,48,20,17.27,ES,1620748179
Mandalgovi,45.7625,106.2708,42.96,35,100,6.46,MN,1620748179
Rocha,-34.4833,-54.3333,60.64,50,2,15.12,UY,1620748167
Chimbote,-9.0853,-78.5783,69.67,73,12,9.55,PE,1620748179
Buraidah,26.326,43.975,96.8,21,75,16.11,SA,1620748050
Taltal,-25.4,-70.4833,67.68,70,82,5.19,CL,1620748180
Calafell,41.2,1.5683,73.0,100,0,21.0,ES,1620748180
Staraya Poltavka,50.4772,46.4814,55.8,57,46,2.01,RU,1620748180
Rabo de Peixe,37.8,-25.5833,66.2,72,20,14.97,PT,1620748181
Randazzo,37.8774,14.9501,73.99,67,15,1.01,IT,1620748181
Stornoway,58.2093,-6.3865,48.2,87,75,9.22,GB,1620748181
Quatre Cocos,-20.2078,57.7625,75.2,78,20,4.61,MU,1620748182
Galeana,24.8333,-100.0667,59.0,87,100,1.54,MX,1620748182
Ouro Preto,-20.3948,-43.5052,74.75,35,1,1.61,BR,1620747967
Idar,49.7167,7.3,55.99,94,75,5.75,DE,1620748182
Talaya,61.3833,152.75,26.91,88,94,4.36,RU,1620748184
Arroio Grande,-32.2375,-53.0869,60.67,51,79,8.39,BR,1620748184
Lander,42.833,-108.7307,42.01,87,90,5.75,US,1620748184
Kerman,30.2832,57.0788,78.8,19,40,11.5,IR,1620748120
Taft,31.7471,54.2088,86.0,17,75,6.91,IR,1620748185
Lakhtinskiy,59.9911,30.1597,75.2,27,0,11.18,RU,1620748185
Palmer,42.1584,-72.3287,60.01,26,40,14.97,US,1620748185
Reconquista,-29.15,-59.65,62.78,54,69,9.1,AR,1620748186
Bathsheba,13.2167,-59.5167,86.0,54,40,26.46,BB,1620748186
Tyrma,50.0833,132.1667,36.68,96,39,2.91,RU,1620748186
Mitú,1.1983,-70.1733,75.04,94,99,1.99,CO,1620748187
Yenagoa,4.9247,6.2642,84.38,75,99,6.98,NG,1620747965
Gritsovskiy,54.1376,38.1604,55.67,87,93,7.87,RU,1620748187
Boa Vista,2.8197,-60.6733,77.0,83,75,5.75,BR,1620748187
Manokwari,-0.8667,134.0833,78.33,81,82,2.3,ID,1620748188
Marawi,7.9986,124.2928,79.0,88,100,2.84,PH,1620748188
Kirakira,-10.4544,161.9205,78.89,85,100,5.41,SB,1620748188
Atasū,48.6814,71.6433,53.65,49,25,16.82,KZ,1620748188
Peniche,39.3558,-9.3811,64.0,68,25,18.01,PT,1620748189
Zhigansk,66.7697,123.3711,27.43,80,9,14.54,RU,1620748189
Nha Trang,12.25,109.1833,82.4,83,20,1.14,VN,1620748064
Berlevåg,70.8578,29.0864,39.2,87,75,4.61,NO,1620748189
Betong,5.7743,101.0723,74.1,98,100,1.25,TH,1620748190
Farim,12.4839,-15.2217,104.0,21,0,11.5,GW,1620748190
Yangi Marg`ilon,40.4272,71.7189,73.4,53,12,4.61,UZ,1620748190
Gáldar,28.147,-15.6502,73.4,56,20,27.63,ES,1620748191
Sawākin,19.1059,37.3321,89.1,61,16,7.34,SD,1620748191
San Javier,37.8063,-0.8374,71.6,43,0,14.97,ES,1620748191
Humaitá,-7.5061,-63.0208,86.61,65,28,3.31,BR,1620748192
Voh,-20.9667,164.7,73.13,88,39,5.17,NC,1620748192
Darnah,32.767,22.6367,67.55,60,0,16.89,LY,1620748192
Kerchevskiy,59.946,56.2884,54.37,50,52,3.47,RU,1620748193
Grindavik,63.8424,-22.4338,41.0,48,20,12.66,IS,1620748193
Poso,-1.3959,120.7524,76.53,83,77,5.95,ID,1620748154
Vardø,70.3705,31.1107,37.4,93,75,8.05,NO,1620748193
Domoni,-12.2569,44.5319,78.12,71,75,11.01,KM,1620748193
Port-Gentil,-0.7193,8.7815,87.8,70,20,12.66,GA,1620748194
